User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Sleep_Quality,Hydration_Level,Stress_Level,Fitness_Level,Activity_Type,Exercise_Intensity,Step_Count,Diet_Quality,BMI
14733363,male,68,190,94,29,105,40.8,7,2,10,Beginner,Running,1,0,1,40
14861698,female,20,166,60,14,94,40.3,5,4,3,Intermediate,Cycling,10,30000,10,20
11179863,male,69,179,79,5,88,38.7,8,3,1,Advanced,Swimming,7,100000,7,15
16180408,female,34,179,71,13,100,40.5,10,0,1,Beginner,Walking,1,0,7,40
17771927,female,27,154,58,10,81,39.8,2,1,1,Intermediate,Running,10,30000,10,20
15130815,female,36,151,50,23,96,40.7,3,3,8,Advanced,Cycling,7,100000,1,15
19602372,female,33,158,56,22,95,40.5,7,1,10,Beginner,Swimming,1,0,10,40
11117088,male,41,175,85,25,100,40.7,10,0,5,Intermediate,Walking,10,30000,1,20
12132339,male,60,186,94,21,97,40.4,9,5,3,Advanced,Running,7,100000,7,15
17964668,female,26,146,51,16,90,40.2,3,1,7,Beginner,Cycling,1,0,1,40
13723164,female,36,177,76,1,74,37.8,6,5,6,Beginner,Swimming,10,30000,10,20
13681290,female,21,157,56,17,100,40,5,5,1,Intermediate,Running,7,100000,7,40
15566424,male,66,171,79,11,90,40,9,0,4,Advanced,Cycling,1,0,7,20
12891699,female,32,157,54,18,93,40.4,4,4,6,Beginner,Swimming,10,30000,10,15
13823829,male,53,182,85,2,82,38.1,4,4,8,Intermediate,Walking,7,100000,1,40
17557348,female,39,156,62,28,104,40.8,10,0,9,Advanced,Running,1,0,10,20
12198133,male,39,182,82,4,82,38.6,6,5,10,Beginner,Cycling,10,30000,1,15
15236104,male,46,169,67,11,89,40.2,3,2,8,Intermediate,Swimming,7,100000,7,40
11042324,female,27,171,65,4,85,38.6,9,1,9,Advanced,Walking,1,0,1,20
16864285,male,50,188,86,14,94,40.2,9,0,9,Beginner,Running,10,30000,10,15
11674347,male,67,189,93,8,77,39.2,1,5,5,Beginner,Cycling,7,100000,7,40
19797300,female,31,148,50,8,84,39.5,7,1,3,Beginner,Swimming,1,0,7,20
14711095,female,33,157,60,3,80,38.7,10,4,1,Intermediate,Walking,10,30000,10,40
14434854,female,20,165,59,29,100,41,9,0,3,Advanced,Running,7,100000,1,20
14893804,male,48,182,85,1,80,37.7,2,3,7,Beginner,Cycling,1,0,10,15
17231597,male,29,176,75,10,83,39.7,8,3,2,Intermediate,Swimming,10,30000,1,40
10901446,male,33,173,73,7,78,39.3,2,1,5,Advanced,Walking,7,100000,7,20
15874362,male,42,190,88,3,83,38.9,1,0,10,Beginner,Running,1,0,1,15
15569252,female,62,159,59,29,106,41.2,9,2,2,Intermediate,Cycling,10,30000,10,40
15615743,male,38,171,75,2,81,38.2,6,3,6,Advanced,Swimming,7,100000,7,20
13363046,male,20,183,88,16,97,40.5,8,3,3,Beginner,Running,1,0,7,15
17572853,female,25,160,59,24,102,40.3,4,5,8,Beginner,Cycling,10,30000,10,40
17157339,female,24,165,59,18,91,40.2,9,5,9,Intermediate,Swimming,7,100000,1,20
18328111,female,42,165,68,22,93,40.8,3,3,8,Advanced,Walking,1,0,10,40
19303479,male,22,182,84,29,114,41,7,1,4,Beginner,Running,10,30000,1,20
10699201,female,74,158,59,10,93,39.6,9,3,3,Intermediate,Cycling,7,100000,7,15
15283313,female,70,154,59,10,88,40,9,5,4,Advanced,Swimming,1,0,1,40
16324247,female,26,182,80,21,96,40.5,3,0,5,Beginner,Walking,10,30000,10,20
14277710,male,44,184,86,25,114,40.8,7,4,6,Intermediate,Running,7,100000,7,15
10888188,male,61,183,86,1,81,38.3,7,1,10,Advanced,Cycling,1,0,7,40
13379795,female,68,157,57,13,92,40.1,1,2,2,Beginner,Swimming,10,30000,10,20
17181524,female,61,176,70,20,104,40.5,1,5,6,Beginner,Walking,7,100000,1,15
15988442,male,63,179,80,25,108,40.8,1,0,7,Beginner,Running,1,0,10,40
19538533,female,54,171,66,20,98,40.1,3,1,4,Intermediate,Cycling,10,30000,1,20
14591877,female,54,169,66,3,80,38.9,8,3,9,Advanced,Swimming,7,100000,7,40
14274480,female,47,155,55,16,93,40.5,2,4,10,Beginner,Walking,1,0,1,20
16818429,male,33,184,86,8,86,39.9,6,0,1,Intermediate,Running,10,30000,10,15
17476522,female,24,171,66,24,105,40.6,5,5,9,Advanced,Cycling,7,100000,7,40
16369885,male,24,195,98,20,96,40.6,1,3,6,Beginner,Swimming,1,0,7,20
17816292,male,48,152,59,2,79,38,1,0,3,Intermediate,Running,10,30000,10,15
15995398,male,35,193,93,10,83,39.7,1,1,8,Advanced,Cycling,7,100000,1,40
17615432,male,21,168,71,3,78,38.5,8,4,6,Beginner,Swimming,1,0,10,20
10146087,female,21,179,73,9,90,39.6,7,4,6,Beginner,Walking,10,30000,1,15
17967445,female,22,158,62,25,105,40.6,5,3,10,Intermediate,Running,7,100000,7,40
19670291,female,69,174,69,2,80,38.1,9,5,9,Advanced,Cycling,1,0,1,20
10580576,male,53,191,101,21,106,40.7,2,1,4,Beginner,Swimming,10,30000,10,40
15854213,female,68,155,58,15,100,40.3,10,4,10,Intermediate,Walking,7,100000,7,20
11138472,female,69,164,65,23,113,40.4,4,0,10,Advanced,Running,1,0,7,15
18276801,male,28,198,101,19,95,40.6,2,0,7,Beginner,Cycling,10,30000,10,40
13823902,male,70,188,89,7,82,39.3,7,4,10,Intermediate,Swimming,7,100000,1,20
19222133,female,36,170,64,9,84,39.6,4,2,5,Advanced,Walking,1,0,10,15
13231909,female,77,177,80,16,98,40.6,2,2,3,Beginner,Running,10,30000,1,40
12726617,female,32,167,63,9,99,39.7,9,2,7,Beginner,Cycling,7,100000,7,20
12538968,female,62,185,77,13,84,40.4,1,0,9,Beginner,Swimming,1,0,1,15
10941668,female,64,151,56,20,97,40.4,10,5,6,Intermediate,Walking,10,30000,10,40
12628985,male,45,175,79,27,104,40.6,5,2,3,Advanced,Running,7,100000,7,20
17691320,male,45,158,61,20,97,40.7,9,4,3,Beginner,Cycling,1,0,7,40
17822027,female,22,177,71,10,93,39.8,8,0,4,Intermediate,Swimming,10,30000,10,20
13777657,male,45,169,69,22,113,40.6,4,0,8,Advanced,Running,7,100000,1,15
19423359,female,66,174,69,28,111,40.9,7,3,5,Beginner,Cycling,1,0,10,40
14701930,male,31,182,83,20,101,40.9,9,5,8,Intermediate,Swimming,10,30000,1,20
11513205,female,57,163,68,29,109,40.7,1,5,6,Advanced,Walking,7,100000,7,15
11842710,male,53,192,93,5,90,39.1,6,2,6,Beginner,Running,1,0,1,40
12576313,female,22,179,67,8,77,39.5,10,5,2,Beginner,Cycling,10,30000,10,20
12367125,male,67,192,92,24,108,40.7,1,3,2,Intermediate,Swimming,7,100000,7,15
16913504,female,27,168,64,2,76,38.2,10,5,6,Advanced,Walking,1,0,7,40
19439155,male,57,178,83,2,79,38.1,4,2,10,Beginner,Running,10,30000,10,20
16137644,female,49,168,68,20,99,40.6,2,5,6,Intermediate,Cycling,7,100000,1,40
11622081,female,39,168,63,29,108,40.7,3,4,4,Advanced,Swimming,1,0,10,20
17374074,male,47,165,72,20,96,40.3,3,2,6,Beginner,Walking,10,30000,1,15
19096890,male,62,197,101,17,103,40.3,9,0,10,Intermediate,Running,7,100000,7,40
19628507,male,41,187,89,23,99,40.7,4,3,1,Advanced,Cycling,1,0,1,20
16918679,female,34,144,50,7,83,39.3,4,3,2,Beginner,Swimming,10,30000,10,15
11194130,female,40,163,62,27,111,41.2,8,3,2,Beginner,Walking,7,100000,7,40
18863486,female,55,155,57,11,92,39.8,5,4,4,Beginner,Running,1,0,7,20
11754581,male,44,189,88,13,94,40,8,1,7,Intermediate,Cycling,10,30000,10,15
15161631,female,45,160,60,16,99,40.4,9,1,6,Advanced,Swimming,7,100000,1,40
18735761,female,49,164,64,19,105,40.4,1,4,10,Beginner,Running,1,0,10,20
15878611,female,46,166,68,12,101,40.1,8,0,7,Intermediate,Cycling,10,30000,1,40
19249559,male,25,202,100,9,94,39.8,10,5,4,Advanced,Swimming,7,100000,7,20
15469030,male,68,171,80,22,95,40.5,7,1,5,Beginner,Walking,1,0,1,15
